t,h,_entailment,_id,_similarity
Uma criança risonha está segurando uma pistola de água e sendo espirrada com água,Uma criança está segurando uma pistola de água,Entailment,1,4.5
Os homens estão cuidadosamente colocando as malas no porta-malas de um carro,Os homens estão colocando bagagens dentro do porta-malas de um carro,Entailment,2,4.5
Uma pessoa tem cabelo loiro e esvoaçante e está tocando violão,Um guitarrista tem cabelo loiro e esvoaçante,Entailment,3,4.7
Batatas estão sendo fatiadas por um homem,O homem está fatiando a batata,Entailment,4,4.7
Um caminhão está descendo rapidamente um morro,Um caminhão está rapidamente descendo o morro,Entailment,5,4.9
Um surfista está pegando uma grande onda através da água verde escura,Uma onda grande está sendo surfada por um surfista através da água verde escura,Entailment,6,4.8
Três cachorros pequeninos estão cheirando algo,Três cachorros estão cheirando alguma coisa,Entailment,7,4.6
Alguns adultos estão sentados nas cadeiras e estão observando o oceano,Dois adultos estão sentados em cadeiras e estão observando o oceano,Entailment,8,4.7
"A gruta com interior rosa está sendo escalada por quatro crianças do Oriente Médio, três meninas e um menino","Quatro crianças do Oriente Médio, três meninas e um menino, estão subindo na gruta com um interior rosa",Entailment,9,4.9
O homem com um chapéu duro está dançando,Um homem com um chapéu duro está dançando,Entailment,10,4.9
Um menino e uma menina estão brincando do lado de fora da academia,O menino e a menina estão brincando na academia ao ar livre,Entailment,11,5
Um jovem casal está dormindo na cama,Um jovem casal está deitado na cama,Entailment,12,4.3
O monte de homens está jogando rúgbi em um campo cheio de lama,O grupo de homens está jogando rúgbi em um monte enlameado,Entailment,13,4.8
A batata está sendo descascada por uma mulher,Uma mulher está descascando a batata,Entailment,14,4.9
Um homem está de pé em um morro de terra próximo a um jipe preto,Um homem está parado em um morro de terra ao lado de um carro preto,Entailment,15,4.3
"Um homem em uma camisa tingida de roxo está se afastando de um homem com uma camisa preta, que está sério",Um homem em uma camisa tingida de roxo está olhando para o homem de camisa preta que está fazendo uma cara engraçada,Entailment,16,3.4
A menina está passando maquiagem em sua face,Uma menina está aplicando maquiagem em seu rosto,Entailment,17,4.9
Um homem está picando um tronco com um machado,Um homem está cortando um tronco com um machado,Entailment,18,4.9
O homem está rachando ovos em uma tigela,A pessoa está quebrando ovos em uma tigela,Entailment,19,4.5
Uma criança jovem está usando botas feitas de borracha verde e está brincando em uma poça de lama,Uma criança jovem está usando botas verdes e brincando em uma poça cheia de lama,Entailment,20,4.6
A pista de patinação no gelo colocada ao ar livre está cheia de pessoas,Muitas pessoas estão em um parque de patinação no gelo,Entailment,21,4.2
Um coelho está brincando com um coelho de pelúcia,Um coelho está brincando com um coelho de brinquedo,Entailment,22,4.4
